Sample,Volt avg 1,Curr avg 1,Pow avg 1
0,3.8997,0.00903,0.035214291
1,3.8997,0.00894,0.034863318
2,3.8997,0.00893,0.034824321
3,3.8997,0.00898,0.035019306
4,3.8997,0.00893,0.034824321
5,3.8997,0.00898,0.035019306
6,3.8997,0.00892,0.034785324
7,3.8997,0.00903,0.035214291
8,3.8997,0.00903,0.035214291
9,3.8997,0.00894,0.034863318
10,3.8997,0.009,0.0350973
11,3.8997,0.00893,0.034824321
12,3.8997,0.00888,0.034629336
13,3.8997,0.00883,0.034434351
14,3.8997,0.00882,0.034395354
15,3.8997,0.00884,0.034473348
16,3.8997,0.00883,0.034434351
17,3.8997,0.00893,0.034824321
18,3.8997,0.00895,0.034902315
19,3.8997,0.00896,0.034941312
20,3.8997,0.00893,0.034824321
21,3.8997,0.00894,0.034863318
22,3.8997,0.00906,0.035331282
23,3.8997,0.00896,0.034941312
24,3.8997,0.00903,0.035214291
25,3.8997,0.00897,0.034980309
26,3.8997,0.00894,0.034863318
27,3.8997,0.009,0.0350973
28,3.8997,0.00893,0.034824321
29,3.8995,0.16241,0.633317795
30,3.8997,0.14079,0.549038763
31,3.8997,0.15217,0.593417349
32,3.8997,0.14274,0.556643178
33,3.8997,0.14583,0.568693251
34,3.8997,0.14144,0.551573568
35,3.8997,0.1468,0.57247596
36,3.8997,0.15997,0.623835009
37,3.8997,0.16274,0.634637178
38,3.8997,0.14664,0.571852008
39,3.8997,0.14664,0.571852008
40,3.8997,0.16241,0.633350277
41,3.8997,0.14648,0.571228056
42,3.8997,0.16257,0.633974229
43,3.8997,0.16257,0.633974229
44,3.8997,0.14566,0.568030302
45,3.8997,0.16274,0.634637178
46,3.8997,0.14566,0.568030302
47,3.8997,0.1455,0.56740635
48,3.8997,0.15867,0.618765399
49,3.8997,0.14566,0.568030302
50,3.8997,0.14583,0.568693251
51,3.8997,0.13949,0.543969153
52,3.8997,0.1338,0.52177986
53,3.8997,0.1455,0.56740635
54,3.8997,0.12697,0.495144909
55,3.8997,0.1429,0.55726713
56,3.8997,0.1416,0.55219752
57,3.8997,0.12876,0.502125372
58,3.8997,0.13217,0.515423349
59,3.8997,0.14014,0.546503958
60,3.8997,0.13396,0.522403812
61,3.8997,0.14014,0.546503958
62,3.8997,0.14469,0.564247593
63,3.89989,0.13428,0.523677229
64,3.8997,0.1468,0.57247596
65,3.8997,0.13591,0.530008227
66,3.8997,0.14062,0.548375814
67,3.8997,0.1507,0.58768479
68,3.8997,0.14193,0.553484421
69,3.8997,0.14453,0.563623641
70,3.8997,0.15493,0.604180521
71,3.8997,0.12827,0.500214519
72,3.8997,0.14518,0.566158446
73,3.8997,0.16095,0.627656715
74,3.8997,0.14534,0.566782398
75,3.8997,0.16127,0.628904619
76,3.8997,0.16111,0.628280667
77,3.8997,0.14501,0.565495497
78,3.8997,0.16111,0.628280667
79,3.8997,0.16144,0.629567568
80,3.8997,0.14469,0.564247593
81,3.8997,0.14469,0.564247593
82,3.8997,0.15997,0.623835009
83,3.8997,0.14436,0.562960692
84,3.8997,0.15835,0.617517495
85,3.8997,0.15477,0.603556569
86,3.8997,0.14485,0.564871545
87,3.8997,0.14046,0.547751862
88,3.8997,0.14518,0.566158446
89,3.8997,0.14355,0.559801935
90,3.8997,0.16095,0.627656715
91,3.8997,0.16078,0.626993766
92,3.8997,0.14062,0.548375814
93,3.8997,0.16062,0.626369814
94,3.8997,0.13819,0.538899543
95,3.8997,0.13916,0.542682252
96,3.8997,0.13315,0.519245055
97,3.8997,0.13916,0.542682252
98,3.8997,0.13363,0.521116911
99,3.8997,0.13428,0.523651716
100,3.8997,0.14176,0.552821472
101,3.8997,0.13624,0.531295128
102,3.8997,0.1364,0.53191908
103,3.8997,0.1442,0.56233674
104,3.8997,0.13981,0.545217057
105,3.8997,0.14079,0.549038763
106,3.8997,0.15266,0.595328202
107,3.8997,0.1429,0.55726713
108,3.8997,0.14453,0.563623641
109,3.8997,0.16046,0.625745862
110,3.8997,0.1312,0.51164064
111,3.8997,0.1603,0.62512191
112,3.8997,0.16046,0.625745862
113,3.8997,0.14469,0.564247593
114,3.8997,0.14404,0.561712788
115,3.8997,0.16046,0.625745862
116,3.8997,0.14404,0.561712788
117,3.8997,0.16046,0.625745862
118,3.8997,0.15997,0.623835009
119,3.8997,0.14404,0.561712788
120,3.8997,0.1564,0.60991308
121,3.8997,0.1442,0.56233674
122,3.8997,0.14404,0.561712788
123,3.8997,0.14371,0.560425887
124,3.8997,0.13721,0.535077837
125,3.8997,0.14355,0.559801935
126,3.8997,0.12632,0.492610104
127,3.8997,0.13445,0.524314665
128,3.8997,0.14128,0.550949616
129,3.8997,0.12729,0.496392813
130,3.8997,0.13802,0.538236594
131,3.8997,0.12973,0.505908081
132,3.8997,0.13087,0.510353739
133,3.8997,0.139,0.5420583
134,3.8997,0.1403,0.54712791
135,3.8997,0.13363,0.521116911
136,3.8997,0.14534,0.566782398
137,3.8997,0.14615,0.569941155
138,3.8997,0.1364,0.53191908
139,3.8997,0.14697,0.573138909
140,3.8997,0.13949,0.543969153
141,3.8997,0.14306,0.557891082
142,3.8997,0.15705,0.612447885
143,3.8997,0.14258,0.556019226
144,3.8997,0.15623,0.609250131
145,3.8997,0.15835,0.617517495
146,3.8997,0.14371,0.560425887
147,3.8997,0.14436,0.562960692
148,3.8997,0.15981,0.623211057
149,3.8997,0.14436,0.562960692
